Title,Company Name,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Senior Animator / Motion Graphics Designer and Editor - Alexandria,Caduceus Lane,San Stefano,Egypt,Full Time,Experienced,6.0,8.0,Wuzzuf,Creative,Creating,Marketing/PR/Advertising,Media/Journalism/Publishing,Editing,Motion Graphics,Media,None,None,None,None,None,None
Senior Graphic Designer,MK Team Solutions,Nasr City,Egypt,Full Time,Experienced,3.0,6.0,Wuzzuf,Creative,adobe,Marketing/PR/Advertising,Media/Journalism/Publishing,Adobe illustrator,After Effects,Branding,None,None,None,None,None,None
Senior Graphic Designer,Confidential,Maadi,Egypt,Full Time,Experienced,3.0,8.0,Wuzzuf,Creative,Design,Marketing/PR/Advertising,Media/Journalism/Publishing,Graphic Design,Adobe Photoshop,Adobe Illustrator,None,None,None,None,None,None
Senior Graphic Designer,Artal Egypt,New Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Creative,Adobe illustrator,Adobe illustrator,Advertising,Advertising,Graphic,Creative,None,None,None,None,None,None
Senior Social Media Designer - Alexandria,Madar Soft,Fleming,Egypt,Full Time,Experienced,3.0,4.0,Wuzzuf,Creative,Design,Marketing/PR/Advertising,Media/Journalism/Publishing,Digital,Graphic Design,Marketing,None,None,None,None,None,None
ERP Analyst,Property Finder Group,Cairo,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,Accounting,Software Development,None,None,Accounting,Financial Analysis,ERP,None,None,None,None,None,None
Showroom Manager,SEDA,6th of October,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Creative,Sales,Marketing/PR/Advertising,Sales/Retail,sales skills,Showroom,Customer Service,None,None,None,None,None,None
Social Media Designer,Creativo Agency,Montaza,Egypt,Full Time,Experienced,2.0,6.0,Wuzzuf,Creative,Social Media,Marketing/PR/Advertising,Media/Journalism/Publishing,Marketing,Graphic Design,Motion Design,None,None,None,None,None,None
Technical Office Engineer (Refrigeration),EgyptianEuropean,6th of October,Egypt,Full Time,Experienced,4.0,0.0,Wuzzuf,Creative,Mechanical Engineering,Engineering - Mechanical/Electrical,Mechanical Engineering,AutoCAD,Revit,Drawing,None,None,None,None,None,None
ERP Application Consultant,Rednet It Services,Cairo,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,Accounting,Software Development,None,None,Engineering - Telecom/Technology,ERP,Accounting,None,None,None,None,None,None
